Time;Elec_Central;PV;Wind;Heating;Cooling
"2025-01-01 00;00";load;Generation;Generation;load;load
s;MW;MW;MW;MW;MW
true;true;true;true;true;true
3600;0.06255924985099365;0.0;0.048663;0.497787;0.0
7200;0.06494857751409615;0.0;0.048610999999999994;0.511906;0.0
10800;0.06379009193145779;0.0;0.05699;0.5199600000000001;0.0
14400;0.0949335670955961;0.0;0.055323;0.5237419999999999;0.0
18000;0.19085723281336647;0.0;0.061636;0.530357;0.0
21600;0.239093248985437;0.0;0.070589;0.5476810000000001;0.0
25200;0.21621118271694986;0.0;0.078808;0.57726;0.0
28800;0.20956010678367873;0.0;0.078403;0.598634;0.0
32400;0.19277224827737935;2.2e-09;0.07492499999999999;0.6076130000000001;0.0
36000;0.21605577983726304;7.308e-07;0.069664;0.6022029999999999;0.0
39600;0.22055641530540984;3.9299e-06;0.056989;0.586864;0.0
43200;0.21926287209130305;9.536e-06;0.066548;0.5716910000000001;0.0
46800;0.22078961780903134;9.321800000000001e-06;0.075445;0.556052;0.0
50400;0.2023432020954017;5.8163e-06;0.074172;0.538539;0.0
54000;0.2195568957605748;1.773e-06;0.06969299999999999;0.52725;0.0
57600;0.20306896986053677;1.27e-08;0.073063;0.531263;0.0
61200;0.2071781142232022;0.0;0.078179;0.5626530000000001;0.0
64800;0.20758148831873782;0.0;0.08126399999999999;0.616565;0.0
68400;0.23662811519459767;0.0;0.08447299999999999;0.631838;0.0
72000;0.2096431599570454;0.0;0.08752;0.605205;0.0
75600;0.16481591314063115;0.0;0.083228;0.58794;0.0
79200;0.10918816004036969;0.0;0.08126399999999999;0.60264;0.0
82800;0.08277619386526425;0.0;0.088088;0.619242;0.0
86400;0.06693051822432138;0.0;0.09006;0.623345;0.0
90000;0.0652109672108687;0.0;0.093723;0.6449320000000001;0.0
93600;0.06614630931558352;0.0;0.09376999999999999;0.660723;0.0
97200;0.06287381835564808;0.0;0.089374;0.668591;0.0
100800;0.09797128633309878;0.0;0.083854;0.67092;0.0
104400;0.18978624163676086;0.0;0.080166;0.676843;0.0
108000;0.24096349342161996;0.0;0.073128;0.696331;0.0
111600;0.2193298502000128;0.0;0.06624899999999999;0.73119;0.0
115200;0.2074935649303133;0.0;0.05898;0.755428;0.0
118800;0.20155670798609712;2.2975e-06;0.049517000000000005;0.763897;0.0
122400;0.20081870373046043;6.732299999999999e-06;0.040744999999999996;0.754273;0.0
126000;0.21994051881405044;9.6238e-06;0.038130000000000004;0.732324;0.0
129600;0.21609424714585745;1.0513800000000001e-05;0.049668;0.710739;0.0
133200;0.21643537001092522;9.6155e-06;0.050806;0.6887300000000001;0.0
136800;0.2105282311865497;7.4599e-06;0.043082999999999996;0.6645650000000001;0.0
140400;0.2040701649769536;3.2195999999999996e-06;0.035404000000000005;0.648226;0.0
144000;0.20675177551482926;4.51e-08;0.036643999999999996;0.650744;0.0
147600;0.20926083378017793;0.0;0.037793;0.686647;0.0
151200;0.21193220357053139;0.0;0.034921;0.749663;0.0
154800;0.22120186301889475;0.0;0.030513000000000002;0.7654;0.0
158400;0.2046891404036001;0.0;0.027100000000000003;0.730435;0.0
162000;0.1747765661358789;0.0;0.025515999999999997;0.7069840000000001;0.0
165600;0.11932417426940618;0.0;0.024503;0.721992;0.0
169200;0.08227443302673869;0.0;0.024196000000000002;0.739151;0.0
172800;0.0683028444169212;0.0;0.02443;0.741311;0.0
176400;0.06358829707554096;0.0;0.024356000000000003;0.76416;0.0
180000;0.06538456294927128;0.0;0.023663;0.779988;0.0
183600;0.06292116897775599;0.0;0.023611;0.78637;0.0
187200;0.09280871614928472;0.0;0.024649;0.786202;0.0
190800;0.18909753452808092;0.0;0.027575;0.790219;0.0
194400;0.23625825479998344;0.0;0.02896;0.8099700000000001;0.0
198000;0.211598825135606;0.0;0.030046;0.847375;0.0
201600;0.20321182940979374;0.0;0.031435;0.872226;0.0
205200;0.1948098623565273;8.241e-07;0.032170000000000004;0.878735;0.0
208800;0.2094869069883897;2.4331e-06;0.028602;0.864444;0.0
212400;0.20822980921215026;4.5126e-06;0.021145;0.8361660000000001;0.0
216000;0.21966932825177488;6.0792999999999995e-06;0.02984;0.808495;0.0
219600;0.21973752501721577;4.9168e-06;0.033114;0.780532;0.0
223200;0.19944426704564783;2.5063e-06;0.026292000000000003;0.750321;0.0
226800;0.22356322550570062;9.516999999999999e-07;0.024418;0.729114;0.0
230400;0.2041989912421839;0.0;0.028477;0.729165;0.0
234000;0.20939306471128472;0.0;0.032015999999999996;0.766439;0.0
237600;0.21780679488863777;0.0;0.031521;0.8335199999999999;0.0
241200;0.23659589902054798;0.0;0.027229;0.8476520000000001;0.0
244800;0.19717951242805082;0.0;0.020992;0.805674;0.0
248400;0.16333724965756286;0.0;0.018103;0.776605;0.0
252000;0.11142907730711706;0.0;0.019967;0.7897609999999999;0.0
255600;0.08537198065396454;0.0;0.01933;0.805055;0.0
259200;0.06947977566736831;0.0;0.016143;0.803844;0.0
262800;0.06401870100919685;0.0;0.014469;0.824863;0.0
266400;0.06612269734624573;0.0;0.014845;0.838017;0.0
270000;0.06360163588568316;0.0;0.017009;0.840808;0.0
273600;0.09682247281239716;0.0;0.01891;0.836453;0.0
277200;0.19187724768985784;0.0;0.021941;0.836409;0.0
280800;0.23526911798442884;0.0;0.027191;0.852761;0.0
284400;0.20171294162432374;0.0;0.030726;0.8872340000000001;0.0
288000;0.19824316996882613;0.0;0.032884000000000004;0.908045;0.0
291600;0.1893528056778455;4.417e-07;0.032448;0.909408;0.0
