Time;Elec_Central;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;PV;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;Massflow;Massflow;Massflow;Generation;Generation;load;load
s;MW;MW;kg/h;kg/hr;kg/h;MW;MW;MW;MW
true;true;true;true;true;true;true;true;true;true
3600;0.6719322513497374;0.0285;2.357865837;7.852;12.149;0.0;0.048663;0.497787;0.0
7200;0.6572489969102739;0.0285;2.357865837;7.852;12.149;0.0;0.048610999999999994;0.511906;0.0
10800;0.6452913627860559;0.0285;2.357865837;7.852;12.149;0.0;0.05699;0.5199600000000001;0.0
14400;0.9473834553090068;0.0285;2.357865837;7.852;12.149;0.0;0.055323;0.5237419999999999;0.0
18000;1.8203078548375273;0.0285;2.357865837;7.852;12.149;0.0;0.061636;0.530357;0.0
21600;2.385169599997981;0.0285;2.357865837;7.852;12.149;0.0;0.070589;0.5476810000000001;0.0
25200;2.1424321984480676;0.0285;2.357865837;7.852;12.149;0.0;0.078808;0.57726;0.0
28800;2.035131791263337;0.0285;2.357865837;7.852;12.149;0.0;0.078403;0.598634;0.0
32400;1.9938641141917939;0.0285;2.357865837;7.852;12.149;2.2e-08;0.07492499999999999;0.6076130000000001;0.0
36000;2.1722245973036975;0.0285;2.357865837;7.852;12.149;7.308e-06;0.069664;0.6022029999999999;0.0
39600;2.1791073263775527;0.0285;2.357865837;7.852;12.149;3.9299e-05;0.056989;0.586864;0.0
43200;2.256176005018327;0.0285;2.357865837;7.852;12.149;9.536e-05;0.066548;0.5716910000000001;0.0
46800;2.206767933955675;0.0285;2.357865837;7.852;12.149;9.3218e-05;0.075445;0.556052;0.0
50400;2.169564077215129;0.0285;2.357865837;7.852;12.149;5.8163e-05;0.074172;0.538539;0.0
54000;2.230543888216533;0.0285;2.357865837;7.852;12.149;1.773e-05;0.06969299999999999;0.52725;0.0
57600;2.0121399749048186;0.0285;2.357865837;7.852;12.149;1.27e-07;0.073063;0.531263;0.0
61200;2.0781476126671006;0.0285;2.357865837;7.852;12.149;0.0;0.078179;0.5626530000000001;0.0
64800;2.2074867810422423;0.0285;2.357865837;7.852;12.149;0.0;0.08126399999999999;0.616565;0.0
68400;2.2537794251053187;0.0285;2.357865837;7.852;12.149;0.0;0.08447299999999999;0.631838;0.0
72000;2.0583052506990156;0.0285;2.357865837;7.852;12.149;0.0;0.08752;0.605205;0.0
75600;1.7431855260063922;0.0285;2.357865837;7.852;12.149;0.0;0.083228;0.58794;0.0
79200;1.067195393227513;0.0285;2.357865837;7.852;12.149;0.0;0.08126399999999999;0.60264;0.0
82800;0.8299351773016749;0.0285;2.357865837;7.852;12.149;0.0;0.088088;0.619242;0.0
86400;0.6986806350924023;0.0285;2.357865837;7.852;12.149;0.0;0.09006;0.623345;0.0
90000;0.6364095484860797;0.0285;2.357865837;7.852;12.149;0.0;0.093723;0.6449320000000001;0.0
93600;0.6388291529263277;0.0285;2.357865837;7.852;12.149;0.0;0.09376999999999999;0.660723;0.0
97200;0.6209602277132868;0.0285;2.357865837;7.852;12.149;0.0;0.089374;0.668591;0.0
100800;0.9511813114949796;0.0285;2.357865837;7.852;12.149;0.0;0.083854;0.67092;0.0
104400;1.9054159221758076;0.0285;2.357865837;7.852;12.149;0.0;0.080166;0.676843;0.0
108000;2.4144785500560926;0.0285;2.357865837;7.852;12.149;0.0;0.073128;0.696331;0.0
111600;2.153590470721488;0.0285;2.357865837;7.852;12.149;0.0;0.06624899999999999;0.73119;0.0
115200;2.0481632242986887;0.0285;2.357865837;7.852;12.149;0.0;0.05898;0.755428;0.0
118800;1.9475790556806498;0.0285;2.357865837;7.852;12.149;2.2975000000000003e-05;0.049517000000000005;0.763897;0.0
