Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;Elec_Central;PV;Solar_Thermal;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;load;Generation;Generation;Generation;load;load
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/h;kg/h;MW;MW;MW;MW;MW;MW
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
3600;0.06820986597885534;0.1801144586492153;0.09767298229393036;0.04949936405143791;0.06496030692805914;0.00450514455443252;0.13063633152795517;0.02967481812826492;0.021796144830653383;0.029057265406046234;2.3507675513055;8.334130062362885;13.282489456904745;0.647069416942804;0.0;0.0;0.041775;0.473859;0.0
7200;0.07219326283074848;0.19548872012927798;0.10193034394137401;0.031473729883887254;0.06037888696239344;0.008055616554257636;0.11923449135203108;0.027460779579912938;0.021196484991381805;0.026545491867035465;2.5089423771934602;8.139750791257029;12.031991080475052;0.6374123162252646;0.0;0.0;0.042546999999999995;0.494973;0.0
10800;0.06398248182255101;0.20761426379308326;0.09564793974911184;0.026134168259912324;0.06425374341502241;0.007254349688475239;0.12569732335116754;0.027463049230165737;0.018959435925428245;0.02824347376670024;2.5055632648599326;7.67816595674103;11.06071560573392;0.6370067552349176;0.0;0.0;0.041338;0.509934;0.0
14400;0.0704473210063819;0.199094710353476;0.093707806566486;0.12122021554178239;0.23696319173231278;0.022431238513615958;0.12120361883707753;0.03169926694736218;0.05877238513078999;0.029536152391403947;2.5176048022845436;7.7403825057548605;12.52783825846583;0.9555397546292846;0.0;0.0;0.041303;0.52028;0.0
18000;0.13770029762286926;0.2059263690316752;0.19762304179981816;0.33787685037884535;0.625496053803897;0.025794487100783338;0.1359113546382454;0.05555839366648038;0.1574655633826884;0.030151519294456596;2.310043222525846;8.2694204465265;10.990691149436163;1.8793524114253024;0.0;0.0;0.043677;0.53301;0.0
21600;0.21778438709773976;0.2286617096199222;0.28689751489018517;0.5506797341208232;0.5518148283755672;0.052411536366074776;0.14738482341140863;0.09806054270669361;0.1972157975729644;0.02897915744521357;2.5528749629540006;7.819733623440097;11.766772641209139;2.330910874161379;0.0;0.0;0.050224;0.556233;0.0
25200;0.2869173160050489;0.23125507940614096;0.4224270918730123;0.23158252407093585;0.4541511739385332;0.023080443244271057;0.13658325768077698;0.11382495296922335;0.20542536077195833;0.028088043965984046;2.520442813390883;7.118775623023925;12.261609470471562;2.1052471999599014;0.0;0.0;0.052586;0.591857;0.0
