Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;Elec_Central;PV;Solar_Thermal;Wind;Heating_Central;Cooling_Central;Temperature;COP
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;load;Generation;Generation;Generation;load;load;temp;COP
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/h;kg/h;MW;MW;MW;MW;MW;MW;degC;COP
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
3600;0.07401119061797966;0.20370797395137288;0.10571927869229139;0.047571772935878304;0.062665514441921;0.004735617617276654;0.10831500169950906;0.029266017550522147;0.020859859276801025;0.026940069149794715;2.3832709185858327;8.466822930601944;12.95866479277266;0.6568522267835522;0.0;0.0;0.103624;0.070427;0.0;11.781;3.1684596790476007
7200;0.07384589640887199;0.203687387805468;0.09112509627601227;0.02854412806811077;0.05979480718250413;0.00863897570446873;0.12081691728419593;0.03134685505931896;0.020492749092788448;0.0275323490451589;2.3824115079748096;7.745873484408205;11.682761108584934;0.6382928128817393;0.0;0.0;0.102979;0.080527;0.0;11.712;3.157830255569479
10800;0.06666305334534639;0.19637657385464036;0.10425191970087422;0.02440036053293468;0.054979346853529495;0.007620929926353434;0.11447842099988;0.03295232920871909;0.01917760690016533;0.027675075425190144;2.215770100534831;8.306337486989234;11.79946232027212;0.620900541322443;0.0;0.0;0.097763;0.089334;0.0;11.748;3.163376041732022
14400;0.0678260939631054;0.19937465588915;0.09172968223393074;0.1156108364449929;0.24426983930269278;0.020483846344446978;0.12518379660782375;0.030400725170074368;0.0582955609455694;0.02909111589641922;2.422657206743552;7.41504436512247;12.154388767069168;0.9531750369017864;0.0;0.0;0.087227;0.09692;0.0;11.774;3.16738133173817
18000;0.13239619552766094;0.2114080548428899;0.19439970619434732;0.3273612515709899;0.5942420212073725;0.025295456337823333;0.12489157125459856;0.06543235928927552;0.16413516091715266;0.028155534128825134;2.341155831958912;7.391904192480991;11.133211636445997;1.8395617771421107;0.0;0.0;0.072605;0.104535;0.0;11.804;3.1720028202070125
21600;0.21177664836068597;0.23504944500327912;0.3113230170524089;0.5787497739441063;0.5555525734345332;0.05186286886421567;0.14467154971956198;0.08243709910461507;0.19481415510854888;0.026519741675348388;2.1905486188207965;7.339286418137172;11.383049218168264;2.3662371305919554;0.0;0.0;0.057868;0.113932;0.0;11.97;3.1975750564006375
25200;0.27532347404282936;0.24526293589716683;0.38556546531015995;0.22133257697133835;0.4721447365660438;0.022727469090726978;0.13247329454947868;0.11006958727844067;0.19749483659504147;0.03001247284520707;2.198613801199795;7.390806732835339;12.779381003095953;2.062394376301226;3.766e-06;1.0650271771406594e-05;0.044437;0.125774;0.0;12.38;3.2607353988065597
