;CO2_Constraint__paramListJson__MaxConstraintBusValue;CO2_Constraint__paramListJson__MinConstraintBusValue
PERC100;18228100;18228090
PERC090;16405290;16405280
PERC080;14582480;14582470
PERC070;12759670;12759660
PERC060;10936860;10936850
PERC050;9114050;9114040
PERC040;7291240;7291230
PERC030;5468430;5468420
PERC020;3645620;3645610
PERC010;1822810;1822800
PERC005;911400;911390
PERC000;0;0
