;CO2_Constraint__paramListJson__MaxConstraintBusValue;CO2_Constraint__paramListJson__MinConstraintBusValue
PERC100;17159800;17159790
PERC090;15443820;15443810
PERC080;13727840;13727830
PERC070;12011860;12011850
PERC060;10295880;10295870
PERC050;8579900;8579890
PERC040;6863920;6863910
PERC030;5147940;5147930
PERC020;3431960;3431950
PERC010;1715980;1715970
PERC005;857990;857980
PERC000;0;0
