;CO2_Constraint__paramListJson__MaxConstraintBusValue;CO2_Constraint__paramListJson__MinConstraintBusValue
PERC100;17528400;17528390
PERC090;15775560;15775550
PERC080;14022720;14022710
PERC070;12269880;12269870
PERC060;10517040;10517030
PERC050;8764200;8764190
PERC040;7011360;7011350
PERC030;5258520;5258510
PERC020;3505680;3505670
PERC010;1752840;1752830
PERC005;876420;876410
PERC000;0;0
