;FuelLogistics_Constraint__paramListJson__MaxConstraintBusValue;FuelLogistics_Constraint__paramListJson__MinConstraintBusValue
PERC100;6460;6450
PERC090;5820;5810
PERC080;5170;5160
PERC070;4530;4520
PERC060;3880;3870
PERC050;3230;3220
PERC040;2590;2580
PERC030;1940;1930
PERC020;1290;1280
PERC010;650;640
PERC005;320;310
PERC000;0;0
