;CO2_Constraint__paramListJson__MaxConstraintBusValue;CO2_Constraint__paramListJson__MinConstraintBusValue
PERC100;17044900;17044890
PERC090;15340410;15340400
PERC080;13635920;13635910
PERC070;11931430;11931420
PERC060;10226940;10226930
PERC050;8522450;8522440
PERC040;6817960;6817950
PERC030;5113470;5113460
PERC020;3408980;3408970
PERC010;1704490;1704480
PERC005;852240;852230
PERC000;0;0
