;FuelLogistics_Constraint__paramListJson__MaxConstraintBusValue;FuelLogistics_Constraint__paramListJson__MinConstraintBusValue
PERC100;6870;6860
PERC090;6180;6170
PERC080;5490;5480
PERC070;4810;4800
PERC060;4120;4110
PERC050;3430;3420
PERC040;2750;2740
PERC030;2060;2050
PERC020;1370;1360
PERC010;690;680
PERC005;340;330
PERC000;0;0
