;FuelLogistics_Constraint__paramListJson__MaxConstraintBusValue;FuelLogistics_Constraint__paramListJson__MinConstraintBusValue
PERC100;6420;6410
PERC090;5780;5770
PERC080;5140;5130
PERC070;4500;4490
PERC060;3850;3840
PERC050;3210;3200
PERC040;2570;2560
PERC030;1930;1920
PERC020;1280;1270
PERC010;640;630
PERC005;320;310
PERC000;0;0
