;FuelLogistics_Constraint__paramListJson__MaxConstraintBusValue;FuelLogistics_Constraint__paramListJson__MinConstraintBusValue
PERC100;6570;6560
PERC090;5910;5900
PERC080;5250;5240
PERC070;4600;4590
PERC060;3940;3930
PERC050;3280;3270
PERC040;2630;2620
PERC030;1970;1960
PERC020;1310;1300
PERC010;660;650
PERC005;330;320
PERC000;0;0
